ENTREZID,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
12992,Csn1s2b,casein alpha s2-like B,-5.983335929,3.075128034,-22.74226703,2.99E-12,2.17E-08,15.99922333
12740,Cldn4,claudin 4,5.326582699,3.995250026,22.70291242,3.06E-12,2.17E-08,17.02089819
12977,Csf1,colony stimulating factor 1 (macrophage),2.851620367,8.227406417,21.69673071,5.60E-12,2.29E-08,17.82525249
14620,Gjb3,"gap junction protein, beta 3",3.615636654,5.298559635,22.06300664,6.45E-12,2.29E-08,17.46186267
14621,Gjb4,"gap junction protein, beta 4",4.578629581,4.325427891,21.43419529,9.85E-12,2.66E-08,16.5520525
78896,Ecrg4,ECRG4 augurin precursor,2.824477102,7.406035507,21.13131612,1.13E-11,2.66E-08,17.18628038
16878,Lif,leukemia inhibitory factor,3.750933397,5.461194645,21.89193742,1.75E-11,3.54E-08,16.54615863
18491,Pappa,pregnancy-associated plasma protein A,2.665715357,5.325788218,19.66094688,2.07E-11,3.67E-08,16.52058033
12839,Col9a1,"collagen, type IX, alpha 1",2.936730581,4.691233656,19.37211681,2.52E-11,3.97E-08,16.21513066
211577,Mrgprf,"MAS-related GPR, member F",-5.121564663,2.802046265,-18.61683004,4.25E-11,5.70E-08,14.42389438
14038,Wfdc18,WAP four-disulfide core domain 18,2.254434522,5.779528935,18.5617184,4.42E-11,5.70E-08,15.85805836
231830,Micall2,MICAL-like 2,2.273310394,5.666426301,17.36086898,1.06E-10,1.26E-07,15.00693574
226025,Trpm3,"transient receptor potential cation channel, subfamily M, member 3",2.269138001,4.972180567,17.10085406,1.30E-10,1.36E-07,14.77758716
15200,Hbegf,heparin-binding EGF-like growth factor,1.942966313,6.053224219,17.02921203,1.37E-10,1.36E-07,14.77477221
231991,Creb5,cAMP responsive element binding protein 5,-2.554091557,4.964311644,-16.95602035,1.45E-10,1.36E-07,14.67501842
74747,Ddit4,DNA-damage-inducible transcript 4,2.203995848,6.994323289,17.07444307,1.54E-10,1.36E-07,14.67355488
16012,Igfbp6,insulin-like growth factor binding protein 6,-2.867598043,4.493264493,-16.95203728,1.84E-10,1.53E-07,14.39022898
24117,Wif1,Wnt inhibitory factor 1,1.844223174,7.685773726,16.47664627,2.11E-10,1.58E-07,14.35317166
16669,Krt19,keratin 19,-2.284076429,7.777337524,-16.96752137,2.12E-10,1.58E-07,14.36599273
17131,Smad7,SMAD family member 7,2.002177657,7.202217354,16.32928743,2.37E-10,1.68E-07,14.23778207
54156,Egfl6,"EGF-like-domain, multiple 6",-1.938972404,5.490698223,-16.23533406,2.56E-10,1.73E-07,14.15817923
226101,Myof,myoferlin,-2.295623085,5.849167641,-16.61594494,2.77E-10,1.78E-07,14.09953305
20482,Skil,SKI-like,1.911789552,8.102905931,15.82789403,3.56E-10,2.19E-07,13.83493128
381290,Atp2b4,"ATPase, Ca++ transporting, plasma membrane 4",-2.118473875,7.282827853,-16.07676766,4.21E-10,2.49E-07,13.68894463
215384,Fcgbp,Fc fragment of IgG binding protein,4.149617397,2.387601699,15.43988919,4.91E-10,2.79E-07,12.50878706
100470,Lao1,L-amino acid oxidase 1,-2.063171292,5.284858448,-15.30495221,5.50E-10,3.00E-07,13.40062907
21827,Thbs3,thrombospondin 3,-3.461841696,3.456141706,-15.56893464,6.02E-10,3.16E-07,13.03075654
20317,Serpinf1,"serine (or cysteine) peptidase inhibitor, clade F, member 1",1.732448451,6.125788296,15.15606014,6.24E-10,3.16E-07,13.27527172
13400,Dmpk,dystrophia myotonica-protein kinase,-1.767865683,7.938961548,-15.04950335,6.84E-10,3.35E-07,13.18417555
11520,Plin2,perilipin 2,1.668604571,6.3896886,14.69608584,9.30E-10,4.37E-07,12.87477232
26365,Ceacam1,carcinoembryonic antigen-related cell adhesion molecule 1,3.512722077,2.733802566,14.66446584,9.56E-10,4.37E-07,12.30962844
228413,Prrg4,proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane),3.315071341,2.683768486,14.28649611,1.34E-09,5.93E-07,12.03763
67111,Naaa,N-acylethanolamine acid amidase,-2.545542585,3.786360903,-13.98165073,1.76E-09,7.59E-07,12.18173228
76123,Gpsm2,"G-protein signalling modulator 2 (AGS3-like, C. elegans)",-2.151810639,6.861411704,-15.46026103,1.95E-09,8.12E-07,12.22984977
20310,Cxcl2,chemokine (C-X-C motif) ligand 2,2.108666348,4.529366868,13.78750643,2.11E-09,8.56E-07,12.06303365
11910,Atf3,activating transcription factor 3,-1.851973087,10.28706074,-13.70937693,2.27E-09,8.86E-07,11.99770615
20677,Sox4,SRY (sex determining region Y)-box 4,1.545846757,7.637667689,13.689805,2.31E-09,8.86E-07,11.95896665
620695,Gm13889,predicted gene 13889,1.778819531,5.307191742,13.61086204,2.49E-09,9.29E-07,11.90210329
55987,Cpxm2,carboxypeptidase X 2 (M14 family),-1.4888983,7.168635296,-13.553997,2.63E-09,9.55E-07,11.82410375
270150,Ccdc153,coiled-coil domain containing 153,-3.162052909,3.170467605,-13.78253703,2.70E-09,9.59E-07,11.64020668
170761,Pdzd3,PDZ domain containing 3,-3.301725797,2.497569804,-13.4889404,2.79E-09,9.66E-07,11.39421145
73847,Fam110a,"family with sequence similarity 110, member A",1.496159827,6.319048675,13.45023464,2.90E-09,9.78E-07,11.72811095
545370,Hmcn1,hemicentin 1,-1.544665669,6.743515735,-13.36724088,3.13E-09,1.03E-06,11.64294296
50786,Hs6st2,heparan sulfate 6-O-sulfotransferase 2,1.770715272,4.730504592,13.27559708,3.42E-09,1.10E-06,11.59139993
11555,Adrb2,"adrenergic receptor, beta 2",1.606169717,5.585204124,13.17772224,3.76E-09,1.16E-06,11.48090013
